file,sku,set,slot,sha256,sha256Match,mode,width,height,crop,alphaMin,alphaMax,hasTransparency,mountAssigned,reviewBasis,visualStatus,visualNotes
generated/set07-back-blue.png,back-blue,7,backcover,4c681a35f3d4aad689617b5dc03bd531cb4111fef1c9b834b0d6bb25abb4846a,True,RGBA,768,1376,"[84, 75, 685, 1302]",0,255,True,True,"Downloaded-source contact sheet, registered crop; selected full-resolution details",REVIEWED_NO_ADDITIONAL_OBVIOUS_ISSUE_AT_SHEET_SCALE,"Revisione visiva della tavola del SET; non certifica microtesto, misure, compatibilità o fabbricazione."
generated/set07-bat-6000.png,bat-6000,7,battery,fbf7c95f18d467561ca5ab0c3be7c79b489774888f62c5a88c55db8699f4c08f,True,RGBA,1408,768,"[444, 52, 964, 718]",0,255,True,True,"Downloaded-source contact sheet, registered crop; selected full-resolution details",REVIEWED_NO_ADDITIONAL_OBVIOUS_ISSUE_AT_SHEET_SCALE,"Dettaglio riesaminato: 6000 mAh / 23.52 Wh nel microtesto, coerenti con 3.92 V e 23.5 Wh arrotondati. Vecchia segnalazione ritirata."
generated/set07-board-game.png,board-game,7,motherboard,f0981b47fb50b82e6255ba8954f44eeca0a27aa531565ccaa000a0225ac36593,True,RGBA,1408,768,"[68, 66, 1340, 705]",0,255,True,True,"Downloaded-source contact sheet, registered crop; selected full-resolution details",REVIEWED_NO_ADDITIONAL_OBVIOUS_ISSUE_AT_SHEET_SCALE,"Revisione visiva della tavola del SET; non certifica microtesto, misure, compatibilità o fabbricazione."
generated/set07-cam-1inch.png,cam-1inch,7,cameraRear,8305e385713a1ebd2efd52b7c2a9b6113cadc0cd68082979160c64b869a22af9,True,RGBA,1408,768,"[413, 30, 995, 739]",0,255,True,True,"Downloaded-source contact sheet, registered crop; selected full-resolution details",REVIEWED_NO_ADDITIONAL_OBVIOUS_ISSUE_AT_SHEET_SCALE,"Revisione visiva della tavola del SET; non certifica microtesto, misure, compatibilità o fabbricazione."
generated/set07-camf-50.png,camf-50,7,cameraFront,687839eee6b48e7c9754fba0d0091407c5b5a12defaaf22cb8a4819cd6743817,True,RGBA,1408,768,"[539, 118, 868, 686]",0,255,True,True,"Downloaded-source contact sheet, registered crop; selected full-resolution details",REVIEWED_NO_ADDITIONAL_OBVIOUS_ISSUE_AT_SHEET_SCALE,"Revisione visiva della tavola del SET; non certifica microtesto, misure, compatibilità o fabbricazione."
generated/set07-disp-2k.png,disp-2k,7,display,804a19345b8286fb09173dcc253bbcd52419fea4c520b1288f37dffd468ff8dc,True,RGBA,704,1520,"[57, 110, 647, 1412]",0,255,True,True,"Downloaded-source contact sheet, registered crop; selected full-resolution details",REVIEWED_NO_ADDITIONAL_OBVIOUS_ISSUE_AT_SHEET_SCALE,"Revisione visiva della tavola del SET; non certifica microtesto, misure, compatibilità o fabbricazione."
generated/set07-frame-flat.png,frame-flat,7,frame,76225742b656ff669cc286faa2e82cce0198158e0dae55b15afd1527ed8c6f35,True,RGBA,768,1376,"[89, 91, 680, 1288]",0,255,True,True,"Downloaded-source contact sheet, registered crop; selected full-resolution details",REVIEWED_NO_ADDITIONAL_OBVIOUS_ISSUE_AT_SHEET_SCALE,"Revisione visiva della tavola del SET; non certifica microtesto, misure, compatibilità o fabbricazione."
generated/set07-glass-armor.png,glass-armor,7,glass,1cbb295452fd91b25a9556960294c2bba0b6488f616cc6293f508e4854b54ff0,True,RGBA,704,1520,"[34, 54, 670, 1469]",0,255,True,True,"Downloaded-source contact sheet, registered crop; selected full-resolution details",REVIEWED_NO_ADDITIONAL_OBVIOUS_ISSUE_AT_SHEET_SCALE,"Revisione visiva della tavola del SET; non certifica microtesto, misure, compatibilità o fabbricazione."
generated/set07-spk-dual.png,spk-dual,7,speaker,988d94868f6ce80809441766b7be173c2857700a6ecc0effb6940c675375a329,True,RGBA,1408,768,"[203, 154, 1206, 606]",0,255,True,True,"Downloaded-source contact sheet, registered crop; selected full-resolution details",REVIEWED_NO_ADDITIONAL_OBVIOUS_ISSUE_AT_SHEET_SCALE,"Revisione visiva della tavola del SET; non certifica microtesto, misure, compatibilità o fabbricazione."
generated/set07-usb-40b.png,usb-40b,7,usb,c81070494b745917ef4d76e4ebcd17265753b125a5d5addaf7f4124d42c9e1be,True,RGBA,1408,768,"[559, 63, 849, 705]",0,255,True,True,"Downloaded-source contact sheet, registered crop; selected full-resolution details",REVIEWED_NO_ADDITIONAL_OBVIOUS_ISSUE_AT_SHEET_SCALE,"Revisione visiva della tavola del SET; non certifica microtesto, misure, compatibilità o fabbricazione."
